R (nm),x (unit)
-25.61964078956367,3.5
-23.771488795859405,4.222222222222222
-21.87552502693831,4.944444444444445
-19.871687877090228,5.666666666666666
-17.699512724164954,6.388888888888889
-15.315583047700027,7.111111111111111
-12.545890022242567,7.833333333333333
-8.990940071761123,8.555555555555555
-2.3820068694781558,9.277777777777779
2.3820068694781558,9.277777777777779
8.990940071761123,8.555555555555555
12.545890022242567,7.833333333333333
15.315583047700027,7.111111111111111
17.699512724164954,6.388888888888889
19.871687877090228,5.666666666666666
21.87552502693831,4.944444444444445
23.771488795859405,4.222222222222222
25.61964078956367,3.5
